standardized_state,state_name,record_type,source_name,coverage_scope,refresh_date
AR,Arkansas,ARREST,Benton County,STATEWIDE,2024-05-02
AR,Arkansas,SOR,Arkansas Sex Offender Registry,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Arkansas,2024-05-31
AR,Arkansas,ARREST,Benton City,Benton,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Cross,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Jackson,2024-06-28
AR,Arkansas,ARREST,Saline County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Hempstead County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Ashley,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Union,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Clark,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Conway,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Desha,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Crittenden,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Cleveland,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,St. Francis,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Dallas,2024-06-28
AR,Arkansas,ARREST,Talladega County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Little River,2024-06-28
AR,Arkansas,ARREST,Baxter County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,St. Clair County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Newton,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Sebastian,2024-05-31
AR,Arkansas,ARREST,Marshall County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Franklin,2024-06-03
AR,Arkansas,WARRANT,Ar Benton Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Cleburne Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Carroll,2024-05-02
AR,Arkansas,ARREST,Johnson County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Van Buren,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Hot Spring,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Cleburne,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Prairie,2024-05-31
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Sharp,2024-06-28
AR,Arkansas,ARREST,Madison County,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Baxter Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Van Buren County,STATEWIDE,2024-05-02
AR,Arkansas,WARRANT,Ar Yell Most Wanted,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Phillips,2024-06-28
AR,Arkansas,ARREST,Lee County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Sevier,2024-06-28
AR,Arkansas,ARREST,Other State County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Jackson County,STATEWIDE,2024-05-02
AR,Arkansas,ARREST,Pulaski County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Greene,2024-06-28
AR,Arkansas,ARREST,White County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Perry,2024-06-28
AR,Arkansas,COURT,Columbia County Clerk Of Courts,Columbia,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Randolph,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,White,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Howard,2024-06-28
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Pike,2024-06-28
AR,Arkansas,ARREST,Ar Arrest Log Arrest,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Yell,2024-05-31
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Faulkner,2024-06-28
AR,Arkansas,ARREST,Craighead County,STATEWIDE,2024-05-02
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Grant,2024-06-28
AS,American Samoa,SOR,Sex Offender Registry S2,STATEWIDE,2024-05-02
AS,American Samoa,SOR,Samoa Sex Offender Registry,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Yuma,2024-05-02
AZ,Arizona,ARREST,Uncategorized,Maricopa,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Navajo,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Pima,2024-05-02
AZ,Arizona,WARRANT,Az Maricopa County Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Greenlee,2024-05-02
AZ,Arizona,WARRANT,Az Pinal Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,WARRANT,Az South Tucsons Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Az Arrest,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Coconino,2024-05-02
AZ,Arizona,WARRANT,Az Superior Most Wanted Criminals,STATEWIDE,2024-05-02
AZ,Arizona,SOR,Arizona Sex Offender Registry,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Santa Cruz,2024-05-02
AZ,Arizona,ARREST,Bay County,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Graham,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Mohave,2024-05-02
AZ,Arizona,ARREST,Cochise County,Cochise,2024-05-02
AZ,Arizona,ARREST,Uncategorized,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Douglas County,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Cochise,2024-05-02
AZ,Arizona,COURT,Az Pima County Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,COURT,Pima Superior Court,Pinal,2024-05-02
AZ,Arizona,WARRANT,Az Phoenix Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,COURT,Az Yavapai Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,WARRANT,Az Mohave Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Santa Cruz County,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Maricopa County,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Pima County,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Apache,2024-05-02
AZ,Arizona,ARREST,Graham County,Graham,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Maricopa,2024-05-02
AZ,Arizona,ARREST,Lake County,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Bernalillo County,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Pinal,2024-05-02
AZ,Arizona,WARRANT,Az Apache Junction Most Wanted,STATEWIDE,2024-05-02
AZ,Arizona,ARREST,Arrest Log,STATEWIDE,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Gila,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Lapaz,2024-05-02
AZ,Arizona,DOC,Arizona Department Of Corrections,Yavapai,2024-05-02
CA,California,COURT,Contra Costa Superior Court,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Fremont 10 Most Wanted,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Red Bluff County Wanted Persons,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Santa Cruz Warrant,Santa Cruz,2024-05-02
CA,California,COURT,Marin County Superior Court,Marin,2024-08-26
CA,California,DOC,California Department Of Corrections,Contra Costa,2024-05-02
CA,California,DOC,California Department Of Corrections,San Francisco,2024-05-02
CA,California,COURT,Santa Barbara Superior Court,STATEWIDE,2024-05-02
CA,California,ARREST,Hillsborough County,STATEWIDE,2024-05-02
CA,California,ARREST,Cal State Fullerton Police Department,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,Riverside,2024-05-02
CA,California,COURT,Glenn County Superior Court,STATEWIDE,2024-05-02
CA,California,COURT,Stanislaus Superior Court,Los Angeles,2024-05-02
CA,California,COURT,San Bernardino Superior Court,San Bernardino,2024-05-02
CA,California,DOC,California Department Of Corrections,Shasta,2024-05-02
CA,California,WARRANT,Ca Riverside County Most Wanted,STATEWIDE,2024-05-02
CA,California,COURT,San Bernardino Superior Court,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,Orange,2024-05-02
CA,California,COURT,Kern County - Superior Court,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Orange Warrant,Orange,2024-05-02
CA,California,ARREST,San Diego County,San Diego,2024-05-02
CA,California,ARREST,Anaheim Police Department,Orange,2024-05-02
CA,California,DOC,California Department Of Corrections,San Joaquin,2024-05-02
CA,California,COURT,Merced County Superior Court,Merced,2024-08-26
CA,California,COURT,Riverside Superior Court,STATEWIDE,2024-05-02
CA,California,COURT,Tehama County Superior Court,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Lompoc Most Wanted,STATEWIDE,2024-05-02
CA,California,COURT,Santa Cruz Superior Court,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,Santa Clara,2024-05-02
CA,California,COURT,Uncategorized,Siskiyou,2024-05-02
CA,California,WARRANT,Ca Redding Most Wanted,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Los Angeles Dea Most Wanted,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,Butte,2024-05-02
CA,California,ARREST,Tehama County,STATEWIDE,2024-05-02
CA,California,ARREST,Powell Police Department,STATEWIDE,2024-05-02
CA,California,ARREST,Santa Barbara County,Santa Barbara,2024-05-02
CA,California,COURT,San Bernardino Superior Court,San Bernadino,2024-05-02
CA,California,ARREST,Glenn County,STATEWIDE,2024-05-02
CA,California,ARREST,Jackson County,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,Santa Barbara,2024-05-02
CA,California,COURT,Santa Clara Superior Court,Santa Clara,2024-08-23
CA,California,COURT,Shasta County  Superior Court,Shasta,2024-05-02
CA,California,ARREST,Fresno County,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,San Bernaardino,2024-05-02
CA,California,ARREST,Florida,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Placer County 20 Most Wanted,STATEWIDE,2024-05-02
CA,California,ARREST,Chico Police Deparetment,Butte,2024-05-02
CA,California,ARREST,Cal State Fullerton Police Department,Orange,2024-05-02
CA,California,WARRANT,Ca Manteca Most Wanted,STATEWIDE,2024-05-02
CA,California,ARREST,Escambia County,STATEWIDE,2024-05-02
CA,California,ARREST,Lodi Police Department,STATEWIDE,2024-05-02
CA,California,ARREST,Berkeley Police Department,Alameda,2024-05-02
CA,California,COURT,Uncategorized,STATEWIDE,2024-05-02
CA,California,ARREST,Gwinnett County,STATEWIDE,2024-05-02
CA,California,ARREST,Merced County,STATEWIDE,2024-05-02
CA,California,COURT,Stanislaus Superior Court,STATEWIDE,2024-05-02
CA,California,ARREST,Douglas County,STATEWIDE,2024-05-02
CA,California,ARREST,Wyandotte County,STATEWIDE,2024-05-02
CA,California,ARREST,Statewide County,STATEWIDE,2024-05-02
CA,California,COURT,Del Norte County Superior Court,Del Norte,2024-06-21
CA,California,COURT,Butte County Superior Court,STATEWIDE,2024-05-02
CA,California,ARREST,Lake County,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Mendocino County Most Wanted,STATEWIDE,2024-05-02
CA,California,DOC,California Department Of Corrections,Kings,2024-05-02
CA,California,ARREST,Los Angeles County,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca San Francisco Most Wanted,STATEWIDE,2024-05-02
CA,California,COURT,Santa Clara Municipal Court,Santa Clara,2024-05-02
CA,California,COURT,Placer County Superior Court,Placer,2024-05-02
CA,California,ARREST,Chico Police Department,STATEWIDE,2024-05-02
CA,California,ARREST,Stanfield Police Department,STATEWIDE,2024-05-02
CA,California,ARREST,Monterey County Sheriffs Office,Monterey,2024-08-23
CA,California,COURT,San Luis Obispo Superior Court,STATEWIDE,2024-05-02
CA,California,ARREST,Essex County,STATEWIDE,2024-05-02
CA,California,WARRANT,Ca Santa Monica Most Wanted,STATEWIDE,2024-05-02
CA,California,ARREST,Palm Beach County,STATEWIDE,2024-05-02
CA,California,ARREST,Shasta County,STATEWIDE,2024-05-02
