State,Record Type,Source Name,Coverage Level,Last Refresh,Record Count
AL,Court,Madison County Clerk Of Courts,,2024-05-02 00:00:00,630
AL,Arrest,Arrest/Us/National/Arrests,Morgan County,2025-08-04 00:00:00,160
AL,Arrest,Autauga County,Autauga,2025-07-07 00:00:00,14489
AL,SOR,Alabama Sex Offender Registry,,2024-05-02 00:00:00,11488
AL,SOR,Alabama Sex Offender Registry,,2024-05-02 00:00:00,27
AL,Arrest,Franklin County,,2024-05-02 00:00:00,330
AL,Arrest,Shelby County,Shelby,2025-07-07 00:00:00,122802
AL,Arrest,Calhoun County,,2024-05-02 00:00:00,519
AL,Arrest,Alabama Arrest,Russell County,2025-07-22 00:00:00,646
AL,Arrest,Mobile County,Mobile,2025-07-07 00:00:00,581738
AL,Arrest,Alabama Arrest,Limestone County,2025-07-22 00:00:00,741
AL,Arrest,Baldwin County,Baldwin,2025-07-07 00:00:00,275026
AL,Arrest,Dale County,Dale,2025-07-07 00:00:00,9776
AL,Arrest,Alabama Arrest,Covington County,2025-07-22 00:00:00,334
AL,Arrest,Arrest/Us/National/Arrests,Jefferson County,2025-08-04 00:00:00,332
AL,Arrest,Houston County,,2024-05-02 00:00:00,49
AL,Arrest,Elmore County,Elmore,2025-07-07 00:00:00,23626
AL,Arrest,Madison County,,2024-05-02 00:00:00,169
AL,Arrest,Alabama Arrest,Choctaw County,2025-07-22 00:00:00,50
AL,Arrest,Pike County,Pike,2025-07-07 00:00:00,9812
AL,Arrest,Arrest/Us/National/Arrests,Mobile County,2025-08-04 00:00:00,314
AL,Arrest,Colbert County,,2024-05-02 00:00:00,199
AL,Arrest,Arrest/Us/National/Arrests,Coosa County,2025-08-04 00:00:00,12
AL,Arrest,Coffee County,,2024-05-02 00:00:00,452
AL,Arrest,Jefferson County,,2024-05-02 00:00:00,281
AL,Arrest,Butler County,Butler,2025-07-07 00:00:00,3655
AL,Arrest,Madison County,Madison,2025-07-07 00:00:00,308489
AL,Arrest,Coffee County,Coffee,2025-07-07 00:00:00,9678
AL,Arrest,Tuscaloosa County,,2024-05-02 00:00:00,78
AL,SOR,Alabama Sex Offender Registry,,2025-03-02 04:25:31,12275
AL,Arrest,Volusia County,,2024-05-02 00:00:00,2
AL,Arrest,Choctaw County,,2025-07-07 00:00:00,625
AL,Arrest,Baldwin County,,2024-05-02 00:00:00,51
AL,Arrest,Alabama Arrest,Marshall County,2025-07-22 00:00:00,806
AL,Arrest,Coosa County,,2024-05-02 00:00:00,9
AL,Arrest,Jefferson County,Jefferson,2024-05-02 00:00:00,5895
AL,Arrest,Limestone County,Limestone,2025-07-07 00:00:00,12645
AL,Arrest,Alabama Arrest,Elmore County,2025-07-22 00:00:00,863
AL,Arrest,Alabama Arrest,,2025-05-15 00:00:00,18972
AL,Arrest,Alabama Arrest,Calhoun County,2025-07-22 00:00:00,1604
AL,Arrest,Morgan County,Morgan,2025-07-07 00:00:00,129161
AL,Arrest,Alabama Arrest,Fayette County,2025-07-22 00:00:00,102
AL,Arrest,Arrest/Us/National/Arrests,Chilton County,2025-08-04 00:00:00,94
AL,Arrest,Arrest/Us/National/Arrests,Limestone County,2025-08-04 00:00:00,61
AL,Arrest,Barbour County,,2025-07-07 00:00:00,1675
AL,Arrest,Clarke County,Clarke,2024-05-02 00:00:00,1947
AL,Arrest,Colbert County,Colbert,2025-07-07 00:00:00,14771
AL,Arrest,Limestone County,,2025-07-16 00:00:00,1760
AL,Arrest,Tuscaloosa County,Tuscaloosa,2025-07-07 00:00:00,147610
AL,Arrest,Alabama Arrest,Barbour County,2025-07-26 00:00:00,145
AL,Arrest,Cherokee County,,2024-05-02 00:00:00,1104
AL,Arrest,Arrest/Us/National/Arrests,Shelby County,2025-08-04 00:00:00,118
AL,Arrest,Clay County,,2025-07-07 00:00:00,2040
AL,Arrest,Alabama Arrest,Baldwin County,2025-07-26 00:00:00,1538
AL,Arrest,Alabama Arrest,Shelby County,2025-07-22 00:00:00,854
AL,Arrest,Alabama Arrest,Tallapoosa County,2025-07-22 00:00:00,328
AL,Arrest,Chilton County,,2024-05-02 00:00:00,646
AL,Arrest,Alabama Arrest,Cleburne County,2025-07-22 00:00:00,111
AL,Arrest,Talladega County,,2024-05-02 00:00:00,399
AL,Arrest,St. Clair  County,,2024-05-02 00:00:00,130
AL,Arrest,Alabama Arrest,Lauderdale County,2025-07-22 00:00:00,961
AL,Arrest,Jackson County,Jackson,2025-07-07 00:00:00,29911
AL,Arrest,Lee County,Lee,2025-07-07 00:00:00,34161
AL,Arrest,Alabama Arrest,Colbert County,2025-07-22 00:00:00,237
AL,Arrest,Etowah County,Etowah,2025-07-07 00:00:00,169002
AL,Arrest,Alabama Arrest,Coffee County,2025-07-22 00:00:00,542
AL,Arrest,Arrest/Us/National/Arrests,Elmore County,2025-08-04 00:00:00,106
AL,Arrest,Alabama Arrest,Randolph County,2025-07-22 00:00:00,232
AL,Arrest,Alabama Arrest,Pike County,2025-07-22 00:00:00,300
AL,Arrest,Washington County,,2025-07-07 00:00:00,1773
AL,Arrest,Arrest/Us/National/Arrests,Montgomery County,2025-08-04 00:00:00,64
AL,Arrest,Alabama Arrest,Jackson County,2025-07-22 00:00:00,315
AL,Arrest,Alabama Arrest,Montgomery County,2025-07-22 00:00:00,692
AL,Arrest,Arrest/Us/National/Arrests,Colbert County,2025-08-04 00:00:00,20
AL,Arrest,Montgomery County,,2024-05-02 00:00:00,1023
AL,Arrest,Blount County,Blount,2025-07-07 00:00:00,12909
AL,Arrest,Marshall County,Marshall,2025-07-07 00:00:00,54903
AL,Arrest,Alabama Arrest,Houston County,2025-07-22 00:00:00,964
AL,Arrest,Alabama Arrest,Lowndes County,2025-07-22 00:00:00,499
AL,Arrest,Arrest/Us/National/Arrests,Marion County,2025-08-04 00:00:00,24
AL,Arrest,Marshall County,,2024-05-02 00:00:00,1155
AL,Arrest,Franklin County,Franklin,2025-07-07 00:00:00,10536
AL,Arrest,Talladega County,Talladega,2025-07-07 00:00:00,49481
AL,Arrest,Morgan County,,2024-05-02 00:00:00,66
AL,Arrest,Arrest/Us/National/Arrests,Autauga County,2025-08-02 00:00:00,43
AL,Arrest,Monroe County,,2025-07-07 00:00:00,1344
AL,Arrest,Arrest/Us/National/Arrests,Houston County,2025-08-04 00:00:00,117
AL,Arrest,Covington County,Covington,2025-07-07 00:00:00,99963
AL,Arrest,Alabama Arrest,Washington County,2025-07-22 00:00:00,79
AL,Arrest,Alabama Arrest,Coosa County,2025-07-22 00:00:00,125
AL,Arrest,Autauga County,,2024-05-02 00:00:00,387
AL,Arrest,Alabama Arrest,Cherokee County,2025-07-22 00:00:00,363
AL,Arrest,Etowah County,,2024-05-02 00:00:00,88
AL,Arrest,Fayette County,Fayette,2025-07-07 00:00:00,5660
AL,Arrest,Winston County,,2024-05-02 00:00:00,115
AL,Court,Jefferson County Clerk Of Courts,Jefferson,2024-05-02 00:00:00,1115
AL,Warrant,Al Etowah County Warrant,Etowah,2024-05-02 00:00:00,4232
AL,Arrest,Pickens County,Pickens,2025-07-07 00:00:00,6575
AL,Arrest,Chilton County,Chilton,2025-07-07 00:00:00,30502
AL,Arrest,Dekalb County,De Kalb,2025-07-07 00:00:00,70304
AL,Arrest,Alabama Arrest,Dale County,2025-07-22 00:00:00,370
AL,Arrest,Calhoun County,Calhounn,2025-07-07 00:00:00,95608
AL,Arrest,Arrest/Us/National/Arrests,Tuscaloosa County,2025-08-04 00:00:00,208
AL,Warrant,Al Calera Warrant,,2024-05-02 00:00:00,568
AL,Warrant,Al Shelby County Warrant,Shelby,2024-05-02 00:00:00,8903
AL,Arrest,Randolph County,,2025-07-07 00:00:00,3909
AL,Arrest,Lowndes County,,2025-07-07 00:00:00,1724
AL,Warrant,Al Calhoun County Warrant,Calhounn,2024-05-02 00:00:00,5600
AL,Arrest,Al Arrest Log Arrest,,2024-05-02 00:00:00,3
AL,Arrest,Greene County,,2024-05-02 00:00:00,56
AL,Arrest,Dekalb County,,2024-05-02 00:00:00,524
AL,Arrest,Alabama Arrest,Madison County,2025-07-22 00:00:00,3064
AL,Arrest,Alabama Arrest,Franklin County,2025-07-22 00:00:00,424
AL,Arrest,Arrest/Us/National/Arrests,Jackson County,2025-08-04 00:00:00,42
AL,Court,Uncategorized,,2024-05-02 00:00:00,22499
AL,Arrest,Jefferson County,Jefferson,2025-07-07 00:00:00,204671
AL,Arrest,Alabama Arrest,Morgan County,2025-07-22 00:00:00,1557
AL,Arrest,Alabama Arrest,Blount County,2025-07-22 00:00:00,607
AL,Arrest,Alabama Arrest,Lawrence County,2025-07-22 00:00:00,245
AL,Arrest,Alabama Arrest,Talladega County,2025-07-22 00:00:00,653
AL,Arrest,Covington County,,2024-05-02 00:00:00,48
AL,Arrest,Chambers County,,2024-05-02 00:00:00,509
AL,Arrest,St. Mary County,,2024-05-02 00:00:00,4
AL,Arrest,Alabama Arrest,Clay County,2025-07-22 00:00:00,134
AL,Arrest,Cherokee County,Cherokee,2025-07-07 00:00:00,35674
AL,SOR,Alabama Sex Offender Registry,,2025-07-28 00:00:00,13159
AL,Arrest,Walker County,Walker,2025-07-07 00:00:00,2956
AL,Arrest,Alabama Arrest,Chambers County,2025-07-22 00:00:00,423
AL,Arrest,Alabama Arrest,Chilton County,2025-07-22 00:00:00,440
AL,Arrest,Alabama Arrest,Pickens County,2025-07-22 00:00:00,163
AL,Arrest,Mobile County,,2025-07-16 00:00:00,31551
AL,Arrest,Montgomery County,Montgomery,2025-07-07 00:00:00,73841
AL,DOC,Alabama Department Of Corrections,,2025-03-01 16:52:33,31631
AL,Arrest,Alabama Arrest,Escambia County,2025-07-22 00:00:00,405
AL,Arrest,Arrest/Us/National/Arrests,Blount County,2025-08-04 00:00:00,44
AL,Arrest,Arrest/Us/National/Arrests,Lauderdale County,2025-08-04 00:00:00,44
AL,Arrest,Shelby County,,2024-05-02 00:00:00,108
AL,Arrest,Arrest/Us/National/Arrests,Madison County,2025-08-04 00:00:00,333
AL,Arrest,Jackson County,,2024-05-02 00:00:00,544
AL,Arrest,Etowah County,Etowah,2024-05-02 00:00:00,3503
AL,Arrest,St Clair County,,2025-07-07 00:00:00,11196
AL,Court,Uncategorized,Escambia County,2024-05-02 00:00:00,16
AL,Arrest,Arrest/Us/National/Arrests,Franklin County,2025-08-04 00:00:00,34
AR,Arrest,Randolph County,,2025-07-07 00:00:00,3322
AR,Arrest,Crittenden County,,2024-05-02 00:00:00,1012
AR,Warrant,Ar Kensett Most Wanted,,2024-05-02 00:00:00,155
AR,Arrest,Arkansas Arrest,Lonoke County,2025-07-22 00:00:00,617
AR,Arrest,Arkansas Arrest,Carroll County,2025-07-22 00:00:00,527
AR,Arrest,Arrest/Us/National/Arrests,Hot Spring County,2025-08-04 00:00:00,20
AR,Arrest,Ouachita County,,2024-05-02 00:00:00,545
AR,Arrest,Arkansas Arrest,Randolph County,2025-07-22 00:00:00,177
AR,Arrest,Howard County,,2025-07-16 00:00:00,1492
AR,Court,Arkansas Administrative Office Of The Courts,Clay,2024-05-02 00:00:00,5468
AR,Arrest,Arkansas Arrest,Desha County,2025-07-22 00:00:00,66
AR,Arrest,Arkansas Arrest,Jefferson County,2025-07-22 00:00:00,286
AR,Court,Arkansas Administrative Office Of The Courts,Madison,2024-06-28 00:00:00,4933
AR,Arrest,Garland County,,2024-05-02 00:00:00,1483
AR,Arrest,Marion County,,2024-05-02 00:00:00,184
AR,Court,Arkansas Administrative Office Of The Courts,Izard,2024-06-28 00:00:00,4338
AR,Arrest,Pulaski County,Pulaski,2024-05-02 00:00:00,6211
AR,Arrest,Arkansas Arrest,Nevada County,2025-07-22 00:00:00,143
AR,Arrest,Arrest/Us/National/Arrests,Greene County,2025-08-04 00:00:00,71
AR,Arrest,Drew County,,2025-07-07 00:00:00,3924
AR,Arrest,Searcy County,,2025-07-07 00:00:00,1325
AR,Arrest,Montgomery County,,2024-05-02 00:00:00,196
AR,Court,Arkansas Administrative Office Of The Courts,Lawrence,2024-06-28 00:00:00,5216
AR,Arrest,Arkansas Arrest,Mississippi County,2025-07-22 00:00:00,739
AR,Warrant,Ar Independence County Most Wanted,,2024-05-02 00:00:00,45
AR,Arrest,Arrest/Us/National/Arrests,Cross County,2025-08-04 00:00:00,30
AR,Arrest,Crittenden County,Crittenden,2025-07-07 00:00:00,76533
AR,Court,Arkansas Administrative Office Of The Courts,Searcy,2024-06-28 00:00:00,2834
AR,Arrest,Clay County,,2024-05-02 00:00:00,2
AR,Arrest,Boone County,,2024-05-02 00:00:00,598
AR,Arrest,Calhoun County,,2025-07-07 00:00:00,843
AR,Arrest,St. Francis County,St. Francis,2025-01-14 00:00:00,14112
AR,Warrant,Ar Washington Most Wanted,,2024-05-02 00:00:00,3
AR,Arrest,Arkansas Arrest,Yell County,2025-07-22 00:00:00,224
AR,Arrest,Poinsett County,Poinsett,2025-07-07 00:00:00,11679
AR,Arrest,Arkansas Arrest,Crittenden County,2025-07-22 00:00:00,1106
AR,Court,Arkansas Administrative Office Of The Courts,Pope,2024-06-28 00:00:00,27666
AR,Arrest,Arrest/Us/National/Arrests,Monroe County,2025-08-04 00:00:00,6
