standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AL,Alabama,ARREST,Dale County,STATEWIDE,N/A,2024-05-02,304
AL,Alabama,ARREST,Chambers County,Chambers,N/A,2025-07-07,18963
AL,Alabama,ARREST,Alabama Arrest,Butler County,N/A,2025-07-26,234
AL,Alabama,ARREST,Alabama Arrest,Tuscaloosa County,N/A,2025-07-22,1790
AL,Alabama,ARREST,Escambia County,STATEWIDE,N/A,2025-07-07,8342
AL,Alabama,ARREST,Marion County,STATEWIDE,N/A,2024-05-02,1007
AL,Alabama,ARREST,Alabama Arrest,Walker County,N/A,2025-07-22,82
AL,Alabama,COURT,Uncategorized,Gila,COUNTY,2024-05-02,14
AL,Alabama,ARREST,Alabama Arrest,Jefferson County,N/A,2025-07-22,1948
AL,Alabama,ARREST,Pike County,STATEWIDE,N/A,2024-05-02,228
AL,Alabama,ARREST,Uncategorized,STATEWIDE,N/A,2024-05-02,71419
AL,Alabama,ARREST,Alabama Arrest,Monroe County,N/A,2025-07-22,221
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Etowah County,N/A,2025-08-04,99
AL,Alabama,ARREST,Houston County,Houston,N/A,2025-07-07,59969
AL,Alabama,ARREST,Alabama Arrest,Marion County,N/A,2025-07-22,323
AL,Alabama,ARREST,Alabama Arrest,Autauga County,N/A,2025-07-26,463
AL,Alabama,ARREST,Alabama Arrest,Dekalb County,N/A,2025-07-22,592
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Cherokee County,N/A,2025-08-04,25
AL,Alabama,ARREST,Tallapoosa County,STATEWIDE,N/A,2025-07-07,1989
AL,Alabama,ARREST,Lauderdale County,Lauderdale,N/A,2025-07-07,12103
AL,Alabama,ARREST,St. Clair County,St. Clair,N/A,2025-03-09,16279
AL,Alabama,COURT,Madison County Clerk Of Courts,STATEWIDE,STATEWIDE,2024-05-02,630
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Morgan County,N/A,2025-08-04,160
AL,Alabama,ARREST,Autauga County,Autauga,N/A,2025-07-07,14489
AL,Alabama,SOR,Alabama Sex Offender Registry,STATEWIDE,N/A,2024-05-02,11488
AL,Alabama,SOR,Alabama Sex Offender Registry,STATEWIDE,N/A,2024-05-02,27
AL,Alabama,ARREST,Franklin County,STATEWIDE,N/A,2024-05-02,330
AL,Alabama,ARREST,Shelby County,Shelby,N/A,2025-07-07,122802
AL,Alabama,ARREST,Calhoun County,STATEWIDE,N/A,2024-05-02,519
AL,Alabama,ARREST,Alabama Arrest,Russell County,N/A,2025-07-22,646
AL,Alabama,ARREST,Mobile County,Mobile,N/A,2025-07-07,581738
AL,Alabama,ARREST,Alabama Arrest,Limestone County,N/A,2025-07-22,741
AL,Alabama,ARREST,Baldwin County,Baldwin,N/A,2025-07-07,275026
AL,Alabama,ARREST,Dale County,Dale,N/A,2025-07-07,9776
AL,Alabama,ARREST,Alabama Arrest,Covington County,N/A,2025-07-22,334
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Jefferson County,N/A,2025-08-04,332
AL,Alabama,ARREST,Houston County,STATEWIDE,N/A,2024-05-02,49
AL,Alabama,ARREST,Elmore County,Elmore,N/A,2025-07-07,23626
AL,Alabama,ARREST,Madison County,STATEWIDE,N/A,2024-05-02,169
AL,Alabama,ARREST,Alabama Arrest,Choctaw County,N/A,2025-07-22,50
AL,Alabama,ARREST,Pike County,Pike,N/A,2025-07-07,9812
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Mobile County,N/A,2025-08-04,314
AL,Alabama,ARREST,Colbert County,STATEWIDE,N/A,2024-05-02,199
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Coosa County,N/A,2025-08-04,12
AL,Alabama,ARREST,Coffee County,STATEWIDE,N/A,2024-05-02,452
AL,Alabama,ARREST,Jefferson County,STATEWIDE,N/A,2024-05-02,281
AL,Alabama,ARREST,Butler County,Butler,N/A,2025-07-07,3655
AL,Alabama,ARREST,Madison County,Madison,N/A,2025-07-07,308489
AL,Alabama,ARREST,Coffee County,Coffee,N/A,2025-07-07,9678
AL,Alabama,ARREST,Tuscaloosa County,STATEWIDE,N/A,2024-05-02,78
AL,Alabama,SOR,Alabama Sex Offender Registry,STATEWIDE,N/A,2025-03-02,12275
AL,Alabama,ARREST,Volusia County,STATEWIDE,N/A,2024-05-02,2
AL,Alabama,ARREST,Choctaw County,STATEWIDE,N/A,2025-07-07,625
AL,Alabama,ARREST,Baldwin County,STATEWIDE,N/A,2024-05-02,51
AL,Alabama,ARREST,Alabama Arrest,Marshall County,N/A,2025-07-22,806
AL,Alabama,ARREST,Coosa County,STATEWIDE,N/A,2024-05-02,9
AL,Alabama,ARREST,Jefferson County,Jefferson,N/A,2024-05-02,5895
AL,Alabama,ARREST,Limestone County,Limestone,N/A,2025-07-07,12645
AL,Alabama,ARREST,Alabama Arrest,Elmore County,N/A,2025-07-22,863
AL,Alabama,ARREST,Alabama Arrest,STATEWIDE,N/A,2025-05-15,18972
AL,Alabama,ARREST,Alabama Arrest,Calhoun County,N/A,2025-07-22,1604
AL,Alabama,ARREST,Morgan County,Morgan,N/A,2025-07-07,129161
AL,Alabama,ARREST,Alabama Arrest,Fayette County,N/A,2025-07-22,102
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Chilton County,N/A,2025-08-04,94
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Limestone County,N/A,2025-08-04,61
AL,Alabama,ARREST,Barbour County,STATEWIDE,N/A,2025-07-07,1675
AL,Alabama,ARREST,Clarke County,Clarke,N/A,2024-05-02,1947
AL,Alabama,ARREST,Colbert County,Colbert,N/A,2025-07-07,14771
AL,Alabama,ARREST,Limestone County,STATEWIDE,N/A,2025-07-16,1760
